index,name,tcn_channels,gate_pos_weight,nt_start,nt_end,aux_weight,min_trade_probability,min_direction_probability
1,tcn_sig_c32_gp0p1_nt5to15_aux0p0_mtp0p55,32,0.1,5.0,15.0,0.0,0.55,0.4
2,tcn_sig_c64_gp0p1_nt5to15_aux0p0_mtp0p55,64,0.1,5.0,15.0,0.0,0.55,0.4
3,tcn_sig_c32_gp0p1_nt5to15_aux0p0_mtp0p65,32,0.1,5.0,15.0,0.0,0.65,0.4
4,tcn_sig_c64_gp0p1_nt5to15_aux0p0_mtp0p65,64,0.1,5.0,15.0,0.0,0.65,0.4
5,tcn_sig_c32_gp0p1_nt5to15_aux0p03_mtp0p55,32,0.1,5.0,15.0,0.03,0.55,0.4
6,tcn_sig_c64_gp0p1_nt5to15_aux0p03_mtp0p55,64,0.1,5.0,15.0,0.03,0.55,0.4
7,tcn_sig_c32_gp0p1_nt5to15_aux0p03_mtp0p65,32,0.1,5.0,15.0,0.03,0.65,0.4
8,tcn_sig_c64_gp0p1_nt5to15_aux0p03_mtp0p65,64,0.1,5.0,15.0,0.03,0.65,0.4
9,tcn_sig_c32_gp0p1_nt8to25_aux0p0_mtp0p55,32,0.1,8.0,25.0,0.0,0.55,0.4
10,tcn_sig_c64_gp0p1_nt8to25_aux0p0_mtp0p55,64,0.1,8.0,25.0,0.0,0.55,0.4
11,tcn_sig_c32_gp0p1_nt8to25_aux0p0_mtp0p65,32,0.1,8.0,25.0,0.0,0.65,0.4
12,tcn_sig_c64_gp0p1_nt8to25_aux0p0_mtp0p65,64,0.1,8.0,25.0,0.0,0.65,0.4
13,tcn_sig_c32_gp0p1_nt8to25_aux0p03_mtp0p55,32,0.1,8.0,25.0,0.03,0.55,0.4
14,tcn_sig_c64_gp0p1_nt8to25_aux0p03_mtp0p55,64,0.1,8.0,25.0,0.03,0.55,0.4
15,tcn_sig_c32_gp0p1_nt8to25_aux0p03_mtp0p65,32,0.1,8.0,25.0,0.03,0.65,0.4
16,tcn_sig_c64_gp0p1_nt8to25_aux0p03_mtp0p65,64,0.1,8.0,25.0,0.03,0.65,0.4
17,tcn_sig_c32_gp0p1_nt10to35_aux0p0_mtp0p55,32,0.1,10.0,35.0,0.0,0.55,0.4
18,tcn_sig_c64_gp0p1_nt10to35_aux0p0_mtp0p55,64,0.1,10.0,35.0,0.0,0.55,0.4
19,tcn_sig_c32_gp0p1_nt10to35_aux0p0_mtp0p65,32,0.1,10.0,35.0,0.0,0.65,0.4
20,tcn_sig_c64_gp0p1_nt10to35_aux0p0_mtp0p65,64,0.1,10.0,35.0,0.0,0.65,0.4
21,tcn_sig_c32_gp0p1_nt10to35_aux0p03_mtp0p55,32,0.1,10.0,35.0,0.03,0.55,0.4
22,tcn_sig_c64_gp0p1_nt10to35_aux0p03_mtp0p55,64,0.1,10.0,35.0,0.03,0.55,0.4
23,tcn_sig_c32_gp0p1_nt10to35_aux0p03_mtp0p65,32,0.1,10.0,35.0,0.03,0.65,0.4
24,tcn_sig_c64_gp0p1_nt10to35_aux0p03_mtp0p65,64,0.1,10.0,35.0,0.03,0.65,0.4
25,tcn_sig_c32_gp0p15_nt5to15_aux0p0_mtp0p55,32,0.15,5.0,15.0,0.0,0.55,0.4
26,tcn_sig_c64_gp0p15_nt5to15_aux0p0_mtp0p55,64,0.15,5.0,15.0,0.0,0.55,0.4
27,tcn_sig_c32_gp0p15_nt5to15_aux0p0_mtp0p65,32,0.15,5.0,15.0,0.0,0.65,0.4
28,tcn_sig_c64_gp0p15_nt5to15_aux0p0_mtp0p65,64,0.15,5.0,15.0,0.0,0.65,0.4
29,tcn_sig_c32_gp0p15_nt5to15_aux0p03_mtp0p55,32,0.15,5.0,15.0,0.03,0.55,0.4
30,tcn_sig_c64_gp0p15_nt5to15_aux0p03_mtp0p55,64,0.15,5.0,15.0,0.03,0.55,0.4
31,tcn_sig_c32_gp0p15_nt5to15_aux0p03_mtp0p65,32,0.15,5.0,15.0,0.03,0.65,0.4
32,tcn_sig_c64_gp0p15_nt5to15_aux0p03_mtp0p65,64,0.15,5.0,15.0,0.03,0.65,0.4
33,tcn_sig_c32_gp0p15_nt8to25_aux0p0_mtp0p55,32,0.15,8.0,25.0,0.0,0.55,0.4
34,tcn_sig_c64_gp0p15_nt8to25_aux0p0_mtp0p55,64,0.15,8.0,25.0,0.0,0.55,0.4
35,tcn_sig_c32_gp0p15_nt8to25_aux0p0_mtp0p65,32,0.15,8.0,25.0,0.0,0.65,0.4
36,tcn_sig_c64_gp0p15_nt8to25_aux0p0_mtp0p65,64,0.15,8.0,25.0,0.0,0.65,0.4
37,tcn_sig_c32_gp0p15_nt8to25_aux0p03_mtp0p55,32,0.15,8.0,25.0,0.03,0.55,0.4
38,tcn_sig_c64_gp0p15_nt8to25_aux0p03_mtp0p55,64,0.15,8.0,25.0,0.03,0.55,0.4
39,tcn_sig_c32_gp0p15_nt8to25_aux0p03_mtp0p65,32,0.15,8.0,25.0,0.03,0.65,0.4
40,tcn_sig_c64_gp0p15_nt8to25_aux0p03_mtp0p65,64,0.15,8.0,25.0,0.03,0.65,0.4
41,tcn_sig_c32_gp0p15_nt10to35_aux0p0_mtp0p55,32,0.15,10.0,35.0,0.0,0.55,0.4
42,tcn_sig_c64_gp0p15_nt10to35_aux0p0_mtp0p55,64,0.15,10.0,35.0,0.0,0.55,0.4
43,tcn_sig_c32_gp0p15_nt10to35_aux0p0_mtp0p65,32,0.15,10.0,35.0,0.0,0.65,0.4
44,tcn_sig_c64_gp0p15_nt10to35_aux0p0_mtp0p65,64,0.15,10.0,35.0,0.0,0.65,0.4
45,tcn_sig_c32_gp0p15_nt10to35_aux0p03_mtp0p55,32,0.15,10.0,35.0,0.03,0.55,0.4
46,tcn_sig_c64_gp0p15_nt10to35_aux0p03_mtp0p55,64,0.15,10.0,35.0,0.03,0.55,0.4
47,tcn_sig_c32_gp0p15_nt10to35_aux0p03_mtp0p65,32,0.15,10.0,35.0,0.03,0.65,0.4
48,tcn_sig_c64_gp0p15_nt10to35_aux0p03_mtp0p65,64,0.15,10.0,35.0,0.03,0.65,0.4
49,tcn_sig_c32_gp0p2_nt5to15_aux0p0_mtp0p55,32,0.2,5.0,15.0,0.0,0.55,0.4
50,tcn_sig_c64_gp0p2_nt5to15_aux0p0_mtp0p55,64,0.2,5.0,15.0,0.0,0.55,0.4
51,tcn_sig_c32_gp0p2_nt5to15_aux0p0_mtp0p65,32,0.2,5.0,15.0,0.0,0.65,0.4
52,tcn_sig_c64_gp0p2_nt5to15_aux0p0_mtp0p65,64,0.2,5.0,15.0,0.0,0.65,0.4
53,tcn_sig_c32_gp0p2_nt5to15_aux0p03_mtp0p55,32,0.2,5.0,15.0,0.03,0.55,0.4
54,tcn_sig_c64_gp0p2_nt5to15_aux0p03_mtp0p55,64,0.2,5.0,15.0,0.03,0.55,0.4
55,tcn_sig_c32_gp0p2_nt5to15_aux0p03_mtp0p65,32,0.2,5.0,15.0,0.03,0.65,0.4
56,tcn_sig_c64_gp0p2_nt5to15_aux0p03_mtp0p65,64,0.2,5.0,15.0,0.03,0.65,0.4
57,tcn_sig_c32_gp0p2_nt8to25_aux0p0_mtp0p55,32,0.2,8.0,25.0,0.0,0.55,0.4
58,tcn_sig_c64_gp0p2_nt8to25_aux0p0_mtp0p55,64,0.2,8.0,25.0,0.0,0.55,0.4
59,tcn_sig_c32_gp0p2_nt8to25_aux0p0_mtp0p65,32,0.2,8.0,25.0,0.0,0.65,0.4
60,tcn_sig_c64_gp0p2_nt8to25_aux0p0_mtp0p65,64,0.2,8.0,25.0,0.0,0.65,0.4
61,tcn_sig_c32_gp0p2_nt8to25_aux0p03_mtp0p55,32,0.2,8.0,25.0,0.03,0.55,0.4
62,tcn_sig_c64_gp0p2_nt8to25_aux0p03_mtp0p55,64,0.2,8.0,25.0,0.03,0.55,0.4
63,tcn_sig_c32_gp0p2_nt8to25_aux0p03_mtp0p65,32,0.2,8.0,25.0,0.03,0.65,0.4
64,tcn_sig_c64_gp0p2_nt8to25_aux0p03_mtp0p65,64,0.2,8.0,25.0,0.03,0.65,0.4
65,tcn_sig_c32_gp0p2_nt10to35_aux0p0_mtp0p55,32,0.2,10.0,35.0,0.0,0.55,0.4
66,tcn_sig_c64_gp0p2_nt10to35_aux0p0_mtp0p55,64,0.2,10.0,35.0,0.0,0.55,0.4
67,tcn_sig_c32_gp0p2_nt10to35_aux0p0_mtp0p65,32,0.2,10.0,35.0,0.0,0.65,0.4
68,tcn_sig_c64_gp0p2_nt10to35_aux0p0_mtp0p65,64,0.2,10.0,35.0,0.0,0.65,0.4
69,tcn_sig_c32_gp0p2_nt10to35_aux0p03_mtp0p55,32,0.2,10.0,35.0,0.03,0.55,0.4
70,tcn_sig_c64_gp0p2_nt10to35_aux0p03_mtp0p55,64,0.2,10.0,35.0,0.03,0.55,0.4
71,tcn_sig_c32_gp0p2_nt10to35_aux0p03_mtp0p65,32,0.2,10.0,35.0,0.03,0.65,0.4
